machine_id,machine_nom,machine_type,atelier,usine,timestamp,date,v_rms_mm_s,acceleration_g,crest_factor,kurtosis,rpm,zone_iso,health_index,rul_days,degradation_score,mtbf_heures,mttr_heures,disponibilite_pct,oee_pct,trs_pct,cout_maintenance_euros,type_defaut,severite_defaut,temperature_c,pression_bar,courant_A,nb_alertes,nb_demarrages,duree_fonctionnement_h,age_machine_jours
M008,Turbine T-100,Turbine,Ventilation,Tanger,2025-10-16 22:00:00,2025-10-16,4.06,5.17,1.78,2.01,8112,B,90.4,166,0.102,404.0,2.8,99.3,81.2,80.0,2807,Aucun - Etat acceptable,Faible,29.9,5.8,165.7,0,41,18427,1630
M001,Compresseur Atlas C-1,Compresseur,Broyage,Casablanca,2025-10-17 02:00:00,2025-10-17,2.61,4.38,2.19,2.24,1544,B,93.8,166,0.055,394.0,7.7,98.1,85.5,83.0,869,Aucun - Etat acceptable,Faible,28.5,5.7,32.9,1,10,15112,3316
M002,Pompe hydraulique P-12,Pompe,Pomperie,Casablanca,2025-10-17 02:00:00,2025-10-17,5.37,11.84,2.16,3.44,1474,C,80.5,120,0.181,449.0,3.1,99.3,77.1,76.0,834,Aucun - Etat acceptable,Faible,32.8,,35.8,1,46,16340,2653
M003,Moteur electrique ME-45,Moteur,Convoyage,Casablanca,2025-10-17 05:00:00,2025-10-17,1.0,3.05,1.85,2.7,1483,A,95.2,162,0.049,378.0,3.1,99.2,94.2,88.6,1921,Aucun - Etat nominal,Aucune,28.3,5.1,30.7,0,0,11110,2555
M004,Ventilateur V-08,Ventilateur,Ventilation,Tanger,2025-10-17 07:00:00,2025-10-17,2.48,5.42,2.13,2.22,1455,B,94.8,181,0.055,433.0,7.3,98.3,86.3,84.7,2457,Aucun - Etat acceptable,Faible,29.6,5.4,31.7,0,47,16648,3745
M005,Reducteur R-22,Reducteur,Broyage,Tanger,2025-10-17 09:00:00,2025-10-17,5.26,14.68,1.94,2.93,1506,C,78.2,119,0.23,401.0,5.1,98.7,83.6,82.7,1715,Aucun - Etat acceptable,Faible,33.6,7.5,36.9,0,8,18453,434
M006,Compresseur C-201,Compresseur,Air comprime,Casablanca,2025-10-17 12:00:00,2025-10-17,2.89,6.24,2.16,1.7,1473,B,95.5,173,0.04,432.0,2.8,99.4,93.3,91.2,871,Aucun - Etat acceptable,Faible,27.8,,32.0,0,65,20427,412
M007,Pompe transfert PT-09,Pompe,Pomperie,Tanger,2025-10-17 13:00:00,2025-10-17,0.1,0.14,1.35,2.44,1483,A,95.5,172,0.048,447.0,3.5,99.2,75.8,72.9,1727,Aucun - Etat nominal,Aucune,31.2,4.0,31.5,1,2,14450,807
M008,Turbine T-100,Turbine,Ventilation,Tanger,2025-10-17 14:00:00,2025-10-17,3.71,3.42,1.89,1.5,7762,B,95.7,179,0.031,436.0,2.6,99.4,87.2,83.4,2206,Aucun - Etat acceptable,Faible,30.0,5.8,160.0,0,14,9830,1667
M001,Compresseur Atlas C-1,Compresseur,Broyage,Casablanca,2025-10-17 17:00:00,2025-10-17,2.54,2.31,1.4,2.27,1473,B,95.2,181,0.058,445.0,6.2,98.6,77.7,71.8,283,Aucun - Etat acceptable,Faible,,3.8,31.4,0,17,16474,3545
M002,Pompe hydraulique P-12,Pompe,Pomperie,Casablanca,2025-10-17 20:00:00,2025-10-17,5.38,12.6,2.11,2.0,1469,C,79.0,113,0.19,453.0,7.8,98.3,76.3,72.8,297,Aucun - Etat acceptable,Faible,34.8,,35.4,1,46,10846,617
M003,Moteur electrique ME-45,Moteur,Convoyage,Casablanca,2025-10-17 22:00:00,2025-10-17,1.7,4.8,1.5,3.1,1446,A,90.4,157,0.115,439.0,3.5,99.2,92.6,87.4,588,Aucun - Etat acceptable,Faible,31.4,4.2,31.5,0,48,24388,2487
M004,Ventilateur V-08,Ventilateur,Ventilation,Tanger,2025-10-18 00:00:00,2025-10-18,1.96,3.53,1.2,3.05,1484,A,95.0,170,0.055,346.0,3.2,99.1,83.6,79.0,776,Aucun - Etat acceptable,Faible,32.8,5.3,32.1,0,29,22892,520
M005,Reducteur R-22,Reducteur,Broyage,Tanger,2025-10-18 01:00:00,2025-10-18,4.92,10.46,2.29,2.62,1490,C,76.3,127,0.245,412.0,4.3,99.0,91.2,86.5,2730,Aucun - Etat acceptable,Faible,35.1,6.2,32.5,0,91,12464,57
M006,Compresseur C-201,Compresseur,Air comprime,Casablanca,2025-10-18 02:00:00,2025-10-18,2.7,4.23,2.05,2.41,1470,B,95.4,166,0.049,396.0,5.9,98.5,86.3,81.9,1922,Aucun - Etat acceptable,Faible,29.9,4.2,32.6,0,48,5403,3227
M007,Pompe transfert PT-09,Pompe,Pomperie,Tanger,2025-10-18 06:00:00,2025-10-18,0.58,1.6,2.05,1.73,1505,A,96.7,158,0.024,379.0,3.6,99.1,80.0,75.3,194,Aucun - Etat nominal,Aucune,27.7,4.4,30.5,0,9,15677,2070
M008,Turbine T-100,Turbine,Ventilation,Tanger,2025-10-18 07:00:00,2025-10-18,4.38,7.71,2.2,3.09,7989,B,93.0,171,0.082,453.0,2.6,99.4,91.4,85.4,766,Aucun - Etat acceptable,Faible,30.1,7.3,160.0,0,8,14077,1170
M001,Compresseur Atlas C-1,Compresseur,Broyage,Casablanca,2025-10-18 10:00:00,2025-10-18,2.48,4.96,1.69,1.93,1502,B,93.4,154,0.073,497.0,7.6,98.5,87.9,85.8,1324,Aucun - Etat acceptable,Faible,27.7,6.3,30.8,0,19,3595,3284
M002,Pompe hydraulique P-12,Pompe,Pomperie,Casablanca,2025-10-18 10:00:00,2025-10-18,4.74,14.79,2.8,2.81,1455,C,75.5,108,0.242,527.0,3.8,99.3,83.7,78.6,1540,Aucun - Etat acceptable,Faible,35.3,7.6,35.3,2,34,7126,2347
M003,Moteur electrique ME-45,Moteur,Convoyage,Casablanca,2025-10-18 12:00:00,2025-10-18,1.16,3.12,2.21,2.37,1493,A,95.7,173,0.035,600.0,7.2,98.8,93.6,91.1,667,Aucun - Etat nominal,Aucune,30.5,5.0,31.5,0,23,11370,3639
M004,Ventilateur V-08,Ventilateur,Ventilation,Tanger,2025-10-18 16:00:00,2025-10-18,2.28,3.53,1.91,2.66,1515,A,97.5,189,0.043,426.0,6.8,98.4,92.0,91.0,2866,Aucun - Etat acceptable,Faible,31.0,5.7,33.7,0,2,21013,2314
M005,Reducteur R-22,Reducteur,Broyage,Tanger,2025-10-18 18:00:00,2025-10-18,5.48,9.42,2.77,3.52,1469,C,80.7,119,0.196,462.0,4.2,99.1,85.2,83.1,1733,Aucun - Etat acceptable,Faible,35.0,5.1,35.7,2,16,20123,1077
M006,Compresseur C-201,Compresseur,Air comprime,Casablanca,2025-10-18 20:00:00,2025-10-18,2.76,4.23,1.65,2.4,1507,B,95.8,179,0.033,509.0,4.7,99.1,77.5,71.4,902,Aucun - Etat acceptable,Faible,28.9,4.2,30.4,0,77,26264,3450
M007,Pompe transfert PT-09,Pompe,Pomperie,Tanger,2025-10-18 21:00:00,2025-10-18,0.75,0.82,1.42,2.16,1476,A,96.2,162,0.044,305.0,5.8,98.1,82.9,78.7,906,Aucun - Etat nominal,Aucune,30.6,2.9,30.9,0,3,17780,1988
M008,Turbine T-100,Turbine,Ventilation,Tanger,2025-10-18 23:00:00,2025-10-18,4.34,6.72,1.66,2.84,7920,B,89.7,155,0.092,478.0,3.4,99.3,77.2,71.4,2727,Aucun - Etat acceptable,Faible,31.0,6.7,159.6,1,26,2506,2136
M001,Compresseur Atlas C-1,Compresseur,Broyage,Casablanca,2025-10-19 00:00:00,2025-10-19,2.02,6.45,1.9,3.13,1466,A,96.4,164,0.049,331.0,7.3,97.8,90.7,87.7,1971,Aucun - Etat acceptable,Faible,29.7,6.5,31.7,2,64,22371,2571
M002,Pompe hydraulique P-12,Pompe,Pomperie,Casablanca,2025-10-19 02:00:00,2025-10-19,6.04,6.25,1.94,4.02,1499,C,78.7,131,0.226,403.0,2.9,99.3,78.7,75.5,1100,Defaut roulement,Moderee,33.2,5.8,34.0,2,40,3401,2687
M003,Moteur electrique ME-45,Moteur,Convoyage,Casablanca,2025-10-19 04:00:00,2025-10-19,0.64,0.76,1.48,2.31,1488,A,96.8,170,0.013,469.0,6.7,98.6,74.9,73.4,2907,Aucun - Etat nominal,Aucune,30.9,2.9,34.0,0,79,16123,94
M004,Ventilateur V-08,Ventilateur,Ventilation,Tanger,2025-10-19 07:00:00,2025-10-19,2.33,1.95,1.83,3.74,1469,B,91.8,168,0.09,435.0,7.1,98.4,88.6,84.1,278,Aucun - Etat acceptable,Faible,28.0,3.7,32.1,0,17,18085,2122
M005,Reducteur R-22,Reducteur,Broyage,Tanger,2025-10-19 08:00:00,2025-10-19,5.13,8.94,2.2,3.18,1488,C,77.5,122,0.224,460.0,6.7,98.6,88.2,85.1,1782,Aucun - Etat acceptable,Faible,34.8,7.4,32.3,0,13,18387,1789
M006,Compresseur C-201,Compresseur,Air comprime,Casablanca,2025-10-19 11:00:00,2025-10-19,2.64,3.05,2.17,2.69,1450,B,95.6,166,0.063,497.0,,98.5,87.2,83.4,723,Aucun - Etat acceptable,Faible,32.9,6.2,30.0,0,57,25505,668
M007,Pompe transfert PT-09,Pompe,Pomperie,Tanger,2025-10-19 13:00:00,2025-10-19,1.07,0.92,2.04,1.95,1514,A,94.7,165,0.036,415.0,3.6,99.1,86.8,81.1,758,Aucun - Etat nominal,Aucune,30.0,3.0,31.8,1,39,20185,1768
M008,Turbine T-100,Turbine,Ventilation,Tanger,2025-10-19 14:00:00,2025-10-19,3.93,11.47,2.26,3.71,7952,B,95.9,161,0.045,462.0,3.1,99.3,74.6,71.3,708,Aucun - Etat acceptable,Faible,29.8,7.0,159.3,0,14,16123,1026
M001,Compresseur Atlas C-1,Compresseur,Broyage,Casablanca,2025-10-19 18:00:00,2025-10-19,2.51,4.08,1.85,2.47,1496,B,99.4,172,0.01,440.0,4.1,99.1,84.1,79.2,792,Aucun - Etat acceptable,Faible,31.7,4.5,33.9,1,45,7811,2989
M002,Pompe hydraulique P-12,Pompe,Pomperie,Casablanca,2025-10-19 18:00:00,2025-10-19,5.54,10.36,2.65,2.49,1547,C,78.4,130,0.204,467.0,3.6,99.2,81.1,78.9,450,Aucun - Etat acceptable,Faible,36.9,6.1,33.7,1,1,17581,649
M003,Moteur electrique ME-45,Moteur,Convoyage,Casablanca,2025-10-19 21:00:00,2025-10-19,1.85,4.45,2.0,1.5,1492,A,97.8,176,0.036,379.0,5.5,98.6,77.4,75.2,1048,Aucun - Etat acceptable,Faible,32.9,5.9,31.9,0,43,18716,267
M004,Ventilateur V-08,Ventilateur,Ventilation,Tanger,2025-10-19 23:00:00,2025-10-19,2.45,3.01,1.33,3.01,1487,B,97.7,178,0.017,,3.5,99.3,84.3,78.5,684,Aucun - Etat acceptable,Faible,30.6,6.0,30.3,0,69,14265,434
M005,Reducteur R-22,Reducteur,Broyage,Tanger,2025-10-20 00:00:00,2025-10-20,5.89,15.16,2.51,2.87,1453,C,78.7,133,0.204,486.0,2.8,99.4,91.1,84.6,1032,Aucun - Etat acceptable,Faible,33.5,5.6,34.9,2,18,17825,3113
M006,Compresseur C-201,Compresseur,Air comprime,Casablanca,2025-10-20 02:00:00,2025-10-20,2.6,3.22,1.75,1.5,1432,B,96.3,185,0.038,483.0,3.5,99.3,76.4,72.6,1699,Aucun - Etat acceptable,Faible,29.2,6.3,,1,38,12083,2293
M007,Pompe transfert PT-09,Pompe,Pomperie,Tanger,2025-10-20 06:00:00,2025-10-20,0.6,0.53,1.81,1.5,1470,A,91.7,173,0.076,471.0,6.2,98.7,81.7,76.2,2254,Aucun - Etat nominal,Aucune,29.9,3.8,29.8,0,75,23119,1351
M008,Turbine T-100,Turbine,Ventilation,Tanger,2025-10-20 08:00:00,2025-10-20,3.36,9.37,1.85,2.48,8144,B,95.3,180,0.029,445.0,7.1,98.4,79.7,75.7,745,Aucun - Etat acceptable,Faible,29.1,5.3,165.8,0,71,12956,1595
M001,Compresseur Atlas C-1,Compresseur,Broyage,Casablanca,2025-10-20 08:00:00,2025-10-20,2.82,8.82,1.7,2.64,1510,B,97.1,177,0.036,,4.1,99.2,79.0,74.1,1893,Aucun - Etat acceptable,Faible,30.8,3.6,32.6,1,29,16172,1392
M002,Pompe hydraulique P-12,Pompe,Pomperie,Casablanca,2025-10-20 10:00:00,2025-10-20,5.31,10.81,2.34,3.22,1487,C,75.6,122,0.239,405.0,6.3,98.5,95.0,91.2,2213,Aucun - Etat acceptable,Faible,34.9,4.8,35.8,1,12,6436,3560
M003,Moteur electrique ME-45,Moteur,Convoyage,Casablanca,2025-10-20 13:00:00,2025-10-20,0.69,1.94,2.08,3.52,1471,A,98.2,175,0.01,403.0,6.7,98.4,84.5,79.1,175,Aucun - Etat nominal,Aucune,27.6,3.9,33.7,0,15,1789,218
M004,Ventilateur V-08,Ventilateur,Ventilation,Tanger,2025-10-20 16:00:00,2025-10-20,2.35,5.06,2.19,2.39,1505,B,94.8,176,0.056,436.0,5.2,98.8,92.6,85.8,571,Aucun - Etat acceptable,Faible,28.0,4.1,31.8,1,50,14794,2454
M005,Reducteur R-22,Reducteur,Broyage,Tanger,2025-10-20 18:00:00,2025-10-20,5.46,8.07,2.29,4.12,1506,C,76.2,109,0.243,464.0,6.0,98.7,93.3,90.7,1683,Aucun - Etat acceptable,Faible,33.7,7.4,34.5,1,78,4207,2665
M006,Compresseur C-201,Compresseur,Air comprime,Casablanca,2025-10-20 18:00:00,2025-10-20,2.04,3.44,1.56,2.67,1533,A,93.4,178,0.07,397.0,6.4,98.4,83.1,79.4,1047,Aucun - Etat acceptable,Faible,32.7,6.3,31.3,1,39,3407,1104
M007,Pompe transfert PT-09,Pompe,Pomperie,Tanger,2025-10-20 22:00:00,2025-10-20,1.49,3.28,1.8,2.69,1489,A,98.0,172,0.019,292.0,6.7,97.8,88.9,87.2,903,Aucun - Etat nominal,Aucune,28.9,4.7,31.9,1,52,12147,236
M008,Turbine T-100,Turbine,Ventilation,Tanger,2025-10-21 00:00:00,2025-10-21,4.27,8.67,1.72,1.58,7956,B,93.4,170,0.053,559.0,7.9,98.6,78.5,72.3,1290,Aucun - Etat acceptable,Faible,30.2,5.3,163.8,0,9,20223,71
M001,Compresseur Atlas C-1,Compresseur,Broyage,Casablanca,2025-10-21 00:00:00,2025-10-21,3.33,3.07,1.7,2.64,1464,B,96.7,179,0.016,414.0,2.8,99.3,74.9,69.9,1851,Aucun - Etat acceptable,Faible,27.3,5.6,29.9,1,42,21200,3905
M002,Pompe hydraulique P-12,Pompe,Pomperie,Casablanca,2025-10-21 03:00:00,2025-10-21,5.35,10.82,2.3,3.51,1500,C,75.8,120,0.261,269.0,4.0,98.5,95.6,88.9,1703,Aucun - Etat acceptable,Faible,35.7,5.8,37.2,2,41,21556,3328
M003,Moteur electrique ME-45,Moteur,Convoyage,Casablanca,2025-10-21 04:00:00,2025-10-21,1.53,1.45,1.68,2.46,1512,A,96.5,178,0.037,542.0,7.5,98.6,74.1,72.4,2408,Aucun - Etat acceptable,Faible,31.1,4.9,35.0,1,1,1374,603
M004,Ventilateur V-08,Ventilateur,Ventilation,Tanger,2025-10-21 08:00:00,2025-10-21,3.19,10.18,1.9,1.6,1408,B,93.3,164,0.049,418.0,4.1,99.0,76.3,73.8,1383,Aucun - Etat acceptable,Faible,29.6,4.9,32.0,0,0,20590,1341
M005,Reducteur R-22,Reducteur,Broyage,Tanger,2025-10-21 08:00:00,2025-10-21,5.79,12.64,2.74,4.01,1463,C,77.0,107,0.219,406.0,3.3,99.2,78.6,73.3,1319,Aucun - Etat acceptable,Faible,36.3,7.9,32.9,2,35,18609,3609
M006,Compresseur C-201,Compresseur,Air comprime,Casablanca,2025-10-21 11:00:00,2025-10-21,2.76,6.05,1.61,2.69,1513,B,90.6,161,0.088,336.0,5.4,98.4,89.4,84.0,553,Aucun - Etat acceptable,Faible,29.1,4.2,30.8,1,6,23000,1404
M007,Pompe transfert PT-09,Pompe,Pomperie,Tanger,2025-10-21 13:00:00,2025-10-21,0.69,2.18,1.62,1.84,1416,A,94.4,157,0.052,452.0,2.5,99.4,94.0,89.0,2172,Aucun - Etat nominal,Aucune,29.3,4.4,32.0,0,43,12846,1131
M008,Turbine T-100,Turbine,Ventilation,Tanger,2025-10-21 15:00:00,2025-10-21,4.28,8.16,1.67,2.33,7943,B,97.2,166,0.018,390.0,6.7,98.3,90.1,82.9,866,Aucun - Etat acceptable,Faible,31.4,5.4,160.8,3,39,1487,339
M001,Compresseur Atlas C-1,Compresseur,Broyage,Casablanca,2025-10-21 18:00:00,2025-10-21,2.7,7.73,1.28,2.3,1510,B,97.3,162,0.033,517.0,8.0,98.5,91.5,85.6,1521,Aucun - Etat acceptable,Faible,31.6,4.4,34.3,0,57,19627,757
M002,Pompe hydraulique P-12,Pompe,Pomperie,Casablanca,2025-10-21 18:00:00,2025-10-21,6.03,19.1,2.5,2.92,1502,C,74.7,102,0.249,558.0,2.5,99.6,80.7,77.2,2067,Aucun - Etat acceptable,Faible,32.3,8.1,,1,71,19774,3688
M003,Moteur electrique ME-45,Moteur,Convoyage,Casablanca,2025-10-21 20:00:00,2025-10-21,0.33,0.67,1.78,1.92,1454,A,97.2,175,0.026,443.0,3.4,99.2,81.3,78.3,1339,Aucun - Etat nominal,Aucune,30.9,2.6,32.3,1,51,6208,3891
M004,Ventilateur V-08,Ventilateur,Ventilation,Tanger,2025-10-21 23:00:00,2025-10-21,2.74,2.42,1.6,2.61,1427,B,96.1,166,0.03,433.0,5.7,98.7,85.1,81.4,2082,Aucun - Etat acceptable,Faible,29.7,5.0,29.1,1,44,19891,3893
M005,Reducteur R-22,Reducteur,Broyage,Tanger,2025-10-22 00:00:00,2025-10-22,5.51,16.88,2.12,4.07,1491,C,76.1,113,0.256,470.0,7.2,98.5,77.7,73.9,1165,Aucun - Etat acceptable,Faible,35.5,4.8,35.8,4,74,5233,2200
M006,Compresseur C-201,Compresseur,Air comprime,Casablanca,2025-10-22 02:00:00,2025-10-22,2.49,5.21,2.05,2.12,1495,B,92.0,168,0.064,458.0,7.0,98.5,93.3,88.9,379,Aucun - Etat acceptable,Faible,29.0,6.5,33.1,0,48,20750,2915
M007,Pompe transfert PT-09,Pompe,Pomperie,Tanger,2025-10-22 04:00:00,2025-10-22,1.43,2.19,2.02,2.42,1465,A,96.4,173,0.04,467.0,7.3,98.5,94.1,89.5,2944,Aucun - Etat nominal,Aucune,30.3,5.6,30.5,0,45,6136,1960
M008,Turbine T-100,Turbine,Ventilation,Tanger,2025-10-22 06:00:00,2025-10-22,3.9,4.92,1.97,2.84,7806,B,96.5,173,0.038,516.0,6.5,98.8,93.9,87.6,698,Aucun - Etat acceptable,Faible,31.2,4.1,159.1,1,27,7375,707
M001,Compresseur Atlas C-1,Compresseur,Broyage,Casablanca,2025-10-22 10:00:00,2025-10-22,2.28,5.08,2.1,2.87,1521,A,91.9,154,0.097,481.0,6.3,98.7,80.5,78.0,2734,Aucun - Etat acceptable,Faible,30.9,3.4,33.0,0,66,26012,343
M002,Pompe hydraulique P-12,Pompe,Pomperie,Casablanca,2025-10-22 11:00:00,2025-10-22,6.33,6.14,2.63,3.8,1479,C,70.3,117,0.288,366.0,7.8,97.9,74.2,71.3,2692,Aucun - Etat acceptable,Faible,36.7,7.9,36.0,0,63,6411,1866
M003,Moteur electrique ME-45,Moteur,Convoyage,Casablanca,2025-10-22 13:00:00,2025-10-22,1.31,4.11,1.8,2.16,1460,A,96.6,172,0.02,500.0,6.3,98.8,87.6,85.2,264,Aucun - Etat nominal,Aucune,27.5,5.7,30.2,1,70,12991,1697
M004,Ventilateur V-08,Ventilateur,Ventilation,Tanger,2025-10-22 15:00:00,2025-10-22,2.57,3.23,1.2,3.4,1505,B,98.7,177,0.01,424.0,,99.3,89.2,83.3,2378,Aucun - Etat acceptable,Faible,30.5,5.2,30.5,0,49,18671,3782
M005,Reducteur R-22,Reducteur,Broyage,Tanger,2025-10-22 17:00:00,2025-10-22,6.49,14.97,2.44,4.03,1476,C,71.8,109,0.276,,3.5,99.3,74.6,71.1,1272,Defaut roulement,Moderee,34.5,8.3,33.5,0,100,25007,1441
M006,Compresseur C-201,Compresseur,Air comprime,Casablanca,2025-10-22 18:00:00,2025-10-22,2.39,4.43,2.12,2.11,1483,B,95.2,164,0.053,513.0,4.0,99.2,74.5,69.4,1070,Aucun - Etat acceptable,Faible,29.9,4.1,33.3,0,3,27505,783
M007,Pompe transfert PT-09,Pompe,Pomperie,Tanger,2025-10-22 20:00:00,2025-10-22,0.8,1.75,1.86,2.42,1457,A,97.2,167,0.028,495.0,6.9,98.6,77.0,76.1,2846,Aucun - Etat nominal,Aucune,30.1,,30.2,1,29,6841,415
M008,Turbine T-100,Turbine,Ventilation,Tanger,2025-10-22 23:00:00,2025-10-22,3.95,8.04,1.96,2.64,8126,B,93.2,166,0.085,523.0,5.0,99.1,90.5,87.9,832,Aucun - Etat acceptable,Faible,30.0,5.2,166.3,0,69,1685,3668
M001,Compresseur Atlas C-1,Compresseur,Broyage,Casablanca,2025-10-23 02:00:00,2025-10-23,2.76,5.06,1.85,2.71,1519,B,95.4,157,0.036,506.0,7.5,98.5,77.4,74.6,1097,Aucun - Etat acceptable,Faible,28.9,6.0,32.0,0,56,3726,1382
M002,Pompe hydraulique P-12,Pompe,Pomperie,Casablanca,2025-10-23 04:00:00,2025-10-23,5.85,16.81,2.76,3.3,1481,C,74.4,130,0.257,488.0,6.6,98.7,77.3,75.9,516,Aucun - Etat acceptable,Faible,34.2,8.4,34.2,0,71,14756,2183
M003,Moteur electrique ME-45,Moteur,Convoyage,Casablanca,2025-10-23 04:00:00,2025-10-23,0.9,2.6,2.16,2.2,1538,A,97.9,190,0.038,446.0,6.4,98.6,85.5,81.3,902,Aucun - Etat nominal,Aucune,31.2,5.3,33.0,1,71,14075,2919
M004,Ventilateur V-08,Ventilateur,Ventilation,Tanger,2025-10-23 06:00:00,2025-10-23,2.57,3.57,1.73,2.81,1481,B,93.8,155,0.068,443.0,3.3,99.3,95.7,91.1,1567,Aucun - Etat acceptable,Faible,31.4,6.0,30.7,0,1,7864,810
M005,Reducteur R-22,Reducteur,Broyage,Tanger,2025-10-23 09:00:00,2025-10-23,5.66,5.68,2.84,3.9,1431,C,72.6,107,0.266,386.0,5.1,98.7,96.1,88.4,2226,Aucun - Etat acceptable,Faible,33.6,8.3,33.2,2,34,15631,1043
M006,Compresseur C-201,Compresseur,Air comprime,Casablanca,2025-10-23 12:00:00,2025-10-23,2.26,3.08,1.78,2.62,1508,A,93.9,179,0.08,526.0,2.7,99.5,77.4,74.6,1566,Aucun - Etat acceptable,Faible,31.2,5.3,,0,26,8329,408
M007,Pompe transfert PT-09,Pompe,Pomperie,Tanger,2025-10-23 13:00:00,2025-10-23,0.71,1.72,1.81,1.96,1518,A,93.8,154,0.05,417.0,6.9,98.4,93.0,87.4,416,Aucun - Etat nominal,Aucune,30.4,3.7,35.2,0,45,6596,2192
M008,Turbine T-100,Turbine,Ventilation,Tanger,2025-10-23 16:00:00,2025-10-23,3.68,5.22,1.84,2.22,8037,B,95.3,176,0.046,402.0,6.3,98.5,85.3,83.0,603,Aucun - Etat acceptable,Faible,30.0,5.0,164.9,0,4,17196,2992
M001,Compresseur Atlas C-1,Compresseur,Broyage,Casablanca,2025-10-23 16:00:00,2025-10-23,2.81,6.2,1.6,2.64,1452,B,93.7,176,0.064,474.0,5.5,98.9,76.2,72.3,700,Aucun - Etat acceptable,Faible,29.8,5.0,29.6,0,49,15642,3069
M002,Pompe hydraulique P-12,Pompe,Pomperie,Casablanca,2025-10-23 19:00:00,2025-10-23,6.05,6.24,2.07,3.01,1501,C,71.9,113,0.295,390.0,4.9,98.8,77.8,75.4,2954,Aucun - Etat acceptable,Faible,35.8,5.4,35.3,4,19,23090,3794
M003,Moteur electrique ME-45,Moteur,Convoyage,Casablanca,2025-10-23 22:00:00,2025-10-23,1.39,1.29,1.63,3.57,1519,A,94.7,173,0.042,465.0,6.9,98.5,84.9,80.1,991,Aucun - Etat nominal,Aucune,28.7,4.3,31.9,0,15,25090,1047
M004,Ventilateur V-08,Ventilateur,Ventilation,Tanger,2025-10-23 23:00:00,2025-10-23,2.32,4.34,1.77,2.69,1454,B,96.6,181,0.025,430.0,6.2,98.6,79.3,75.7,252,Aucun - Etat acceptable,Faible,30.3,4.3,31.9,0,46,11502,266
M005,Reducteur R-22,Reducteur,Broyage,Tanger,2025-10-24 01:00:00,2025-10-24,5.86,16.24,2.64,2.95,1471,C,74.9,114,0.251,394.0,3.0,99.2,78.9,77.8,2699,Aucun - Etat acceptable,Faible,34.2,5.1,32.8,2,71,9907,1235
M006,Compresseur C-201,Compresseur,Air comprime,Casablanca,2025-10-24 03:00:00,2025-10-24,2.94,3.78,1.72,2.07,1483,B,94.8,161,0.052,401.0,4.1,99.0,82.8,80.6,1799,Aucun - Etat acceptable,Faible,29.3,4.2,31.2,1,49,20421,3892
M007,Pompe transfert PT-09,Pompe,Pomperie,Tanger,2025-10-24 06:00:00,2025-10-24,1.04,1.1,2.22,2.65,1491,A,94.9,176,0.047,373.0,8.0,97.9,77.4,74.9,1866,Aucun - Etat nominal,Aucune,30.1,4.9,30.9,2,20,4571,401
M008,Turbine T-100,Turbine,Ventilation,Tanger,2025-10-24 07:00:00,2025-10-24,4.78,14.01,1.78,2.15,8031,C,97.8,180,0.01,458.0,2.8,99.4,93.7,89.6,2411,Aucun - Etat acceptable,Faible,29.2,4.4,165.0,0,65,1569,1452
M001,Compresseur Atlas C-1,Compresseur,Broyage,Casablanca,2025-10-24 10:00:00,2025-10-24,2.17,3.77,3.02,2.14,1472,A,95.8,180,0.048,435.0,6.8,98.5,95.1,92.1,907,Aucun - Etat acceptable,Faible,30.1,4.0,33.3,1,77,3313,3833
M002,Pompe hydraulique P-12,Pompe,Pomperie,Casablanca,2025-10-24 11:00:00,2025-10-24,6.52,16.06,2.27,3.37,1560,C,70.9,118,0.277,488.0,3.5,99.3,82.9,76.9,1635,Aucun - Etat acceptable,Faible,37.0,5.9,38.8,0,107,12175,2486
M003,Moteur electrique ME-45,Moteur,Convoyage,Casablanca,2025-10-24 14:00:00,2025-10-24,1.14,1.95,1.8,1.99,1424,A,91.8,156,0.066,386.0,5.5,98.6,90.7,88.2,359,Aucun - Etat nominal,Aucune,29.4,2.6,29.0,0,38,19350,364
M004,Ventilateur V-08,Ventilateur,Ventilation,Tanger,2025-10-24 16:00:00,2025-10-24,2.11,3.72,2.44,2.95,1509,A,94.1,154,0.075,,3.5,99.4,85.1,83.7,2913,Aucun - Etat acceptable,Faible,26.0,6.5,30.7,0,1,21992,3468
M005,Reducteur R-22,Reducteur,Broyage,Tanger,2025-10-24 17:00:00,2025-10-24,6.68,17.78,2.32,4.34,1527,C,72.0,107,0.282,520.0,6.7,98.7,90.2,84.3,1725,Defaut roulement,Moderee,34.4,6.4,37.1,4,61,25302,3019
M006,Compresseur C-201,Compresseur,Air comprime,Casablanca,2025-10-24 19:00:00,2025-10-24,2.48,6.65,1.58,1.5,1463,B,92.4,172,0.076,515.0,7.4,98.6,84.9,82.4,2930,Aucun - Etat acceptable,Faible,30.5,4.2,33.9,1,68,11817,3875
M007,Pompe transfert PT-09,Pompe,Pomperie,Tanger,2025-10-24 22:00:00,2025-10-24,2.0,1.99,1.99,2.06,1407,A,94.4,160,0.053,556.0,3.0,99.5,77.5,73.5,267,Aucun - Etat acceptable,Faible,27.3,3.9,31.4,1,67,14191,3748
